Incidence per 1000 by age and sex			
	Ghana		
 	Total	Male	Female
 60-64 	0.427538	0.481759	0.376497
 65-69 	0.404267	0.491740	0.325168
 70-74 	0.430108	0.477029	0.389512
 75-79 	0.199239	0.322255	0.097604
 80+ 	0.000000	0.000000	0.000000
Total	0.796302	0.729150	0.865624
1986			
 0-4	0.666369	0.669350	0.663266
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.814621	0.518594	1.124039
 20-24 	2.119125	1.685689	2.575976
 25-29 	2.395419	2.151884	2.651823
 30-34 	2.193068	2.135376	2.253639
 35-39 	1.827455	1.842284	1.811820
 40-44 	1.456929	1.452272	1.461781
 45-49 	1.117185	1.068009	1.167569
 50-54 	0.835008	0.776573	0.893766
 55-59 	0.623240	0.609674	0.636500
 60-64 	0.500331	0.557919	0.446019
 65-69 	0.472822	0.569478	0.385245
 70-74 	0.503631	0.552409	0.461385
 75-79 	0.232027	0.373047	0.115483
 80+ 	0.000000	0.000000	0.000000
Total	0.948072	0.859620	1.039431
1987			
 0-4	0.841217	0.844604	0.837688
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.947531	0.593457	1.316655
 20-24 	2.464626	1.933814	3.024792
 25-29 	2.782405	2.468345	3.113483
 30-34 	2.546349	2.450126	2.647489
 35-39 	2.118677	2.111873	2.125845
 40-44 	1.690650	1.666115	1.716304
 45-49 	1.296646	1.224705	1.370423
 50-54 	0.969586	0.890606	1.049112
 55-59 	0.723383	0.699177	0.747088
 60-64 	0.579976	0.639811	0.523442
 65-69 	0.547766	0.653070	0.452144
 70-74 	0.584168	0.633460	0.541398
 75-79 	0.267723	0.427696	0.135439
 80+ 	0.000000	0.000000	0.000000
Total	1.116311	1.001990	1.234476
1988			
 0-4	1.036067	1.039917	1.032051
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.088325	0.673597	1.519299
 20-24 	2.838735	2.209037	3.503091
 25-29 	3.201366	2.818415	3.604980
 30-34 	2.928400	2.797882	3.065547
 35-39 	2.435935	2.411661	2.461419
 40-44 	1.942953	1.901550	1.986320
 45-49 	1.491057	1.398210	1.586301
 50-54 	1.115226	1.016774	1.214352
 55-59 	0.831764	0.798158	0.864682
 60-64 	0.666314	0.730381	0.605793
 65-69 	0.629189	0.745529	0.523298
 70-74 	0.671463	0.723103	0.626492
 75-79 	0.306959	0.488104	0.156600
 80+ 	0.000000	0.000000	0.000000
Total	1.299693	1.159605	1.444491
1989			
 0-4	1.246297	1.250757	1.241643
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.227430	0.750392	1.721539
 20-24 	3.209267	2.477026	3.980378
 25-29 	3.612593	3.156068	4.093223
 30-34 	3.302256	3.132966	3.479842
 35-39 	2.748622	2.702693	2.796610
 40-44 	2.188480	2.126753	2.253045
 45-49 	1.682039	1.566062	1.800992
 50-54 	1.258115	1.138465	1.378362
 55-59 	0.937975	0.893574	0.981381
 60-64 	0.750667	0.817702	0.687536
 65-69 	0.708783	0.834689	0.593931
 70-74 	0.757000	0.809525	0.710962
 75-79 	0.345542	0.546083	0.177415
 80+ 	0.000000	0.000000	0.000000
Total	1.483238	1.315315	1.656677
1990			
 0-4	1.467313	1.472572	1.461827
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.371000	0.835053	1.925034
 20-24 	3.574369	2.749540	4.438789
 25-29 	4.011558	3.492371	4.556598
 30-34 	3.665144	3.466545	3.872690
 35-39 	3.054030	2.993977	3.116415
 40-44 	2.425455	2.349299	2.504779
 45-49 	1.867739	1.733722	2.005141
 50-54 	1.396580	1.259620	1.533939
 55-59 	1.040965	0.988538	1.092071
 60-64 	0.832609	0.904624	0.765071
 65-69 	0.786373	0.923460	0.660952
 70-74 	0.840203	0.895501	0.791121
 75-79 	0.384550	0.603157	0.196957
 80+ 	0.000000	0.000000	0.000000
Total	1.664791	1.472250	1.863392
1991			
 0-4	1.695213	1.701441	1.688716
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.496457	0.907032	2.104985
 20-24 	3.897010	2.984305	4.847255
 25-29 	4.373941	3.793784	4.980603
 30-34 	3.994208	3.765410	4.232085
 35-39 	3.331521	3.255768	3.409702
 40-44 	2.639705	2.547972	2.734603
 45-49 	2.036205	1.884033	2.192047
 50-54 	1.522124	1.368124	1.676178
 55-59 	1.134352	1.073607	1.193318
 60-64 	0.906679	0.982482	0.835977
 65-69 	0.856513	1.002993	0.722277
 70-74 	0.915652	0.972467	0.864476
 75-79 	0.420514	0.653864	0.214718
 80+ 	0.000000	0.000000	0.000000
Total	1.834826	1.617797	2.058272
1992			
 0-4	1.922683	1.929989	1.915064
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.597715	0.963513	2.252045
 20-24 	4.156753	3.166334	5.180857
 25-29 	4.665932	4.030554	5.327504
 30-34 	4.258940	4.000194	4.526462
 35-39 	3.553932	3.461028	3.649217
 40-44 	2.812450	2.704526	2.923138
 45-49 	2.171391	2.001776	2.344837
 50-54 	1.622955	1.453152	1.792382
 55-59 	1.209451	1.140413	1.276166
 60-64 	0.965967	1.043597	0.893966
 65-69 	0.912486	1.065432	0.772442
