Need for ART by age			
	Ghana		
 	Total	Male	Female
 15-19 	1.380990	0.926503	0.454487
 20-24 	37.608230	26.922546	10.685684
 25-29 	180.430180	139.451583	40.978597
 30-34 	248.198570	200.707049	47.491521
 35-39 	268.199849	223.938407	44.261442
 40-44 	209.530217	177.150720	32.379497
 45-49 	190.513633	160.705491	29.808143
 50-54 	127.345323	105.894128	21.451196
 55-59 	72.835968	59.696190	13.139778
 60-64 	42.735867	35.267740	7.468127
 65-69 	26.006983	22.147131	3.859852
 70-74 	16.088848	13.918681	2.170168
 75-79 	8.116682	6.885782	1.230900
 80+ 	1.964858	1.775377	0.189480
Total	2212.558421	1575.571167	636.987254
1985			
 0-4	1135.580680	581.599123	553.981558
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.796340	1.090260	0.706079
 20-24 	47.628871	33.645118	13.983753
 25-29 	232.653309	178.224327	54.428981
 30-34 	317.929614	255.433736	62.495878
 35-39 	347.730777	288.423792	59.306985
 40-44 	274.558321	230.856996	43.701325
 45-49 	246.373185	205.943126	40.430058
 50-54 	163.592237	134.656020	28.936217
 55-59 	93.113794	75.484850	17.628944
 60-64 	54.556245	44.524667	10.031578
 65-69 	33.081310	27.866772	5.214538
 70-74 	20.474798	17.490267	2.984531
 75-79 	10.351898	8.713171	1.638726
 80+ 	2.557785	2.305571	0.252214
Total	2981.979163	2086.257797	895.721366
1986			
 0-4	1590.770226	814.739837	776.030389
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.708288	1.170706	1.537582
 20-24 	60.782420	40.046078	20.736342
 25-29 	296.458602	218.525471	77.933132
 30-34 	404.145493	316.421747	87.723746
 35-39 	438.302345	354.214693	84.087652
 40-44 	354.180510	290.508413	63.672097
 45-49 	313.273037	253.082884	60.190153
 50-54 	207.256809	163.513260	43.743549
 55-59 	117.653706	91.104029	26.549676
 60-64 	68.534475	53.483775	15.050700
 65-69 	41.195588	33.310258	7.885330
 70-74 	25.520499	20.843390	4.677109
 75-79 	12.971320	10.483412	2.487908
 80+ 	3.213634	2.881375	0.332259
Total	3936.966952	2664.329327	1272.637625
1987			
 0-4	2158.443491	1105.608819	1052.834673
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	3.969270	1.270962	2.698308
 20-24 	78.522835	45.219380	33.303455
 25-29 	375.169879	257.251290	117.918589
 30-34 	511.901031	381.579482	130.321549
 35-39 	538.694202	416.472857	122.221346
 40-44 	451.130202	354.230914	96.899288
 45-49 	392.565746	301.165983	91.399763
 50-54 	259.429607	191.653915	67.775692
 55-59 	147.263104	106.112709	41.150394
 60-64 	85.192308	61.940421	23.251887
 65-69 	50.657644	38.425673	12.231971
 70-74 	31.256660	23.932932	7.323729
 75-79 	16.115670	12.134481	3.981189
 80+ 	3.930807	3.461007	0.469800
Total	5104.242458	3300.460825	1803.781633
1988			
 0-4	2813.136685	1441.042183	1372.094502
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.127711	1.674109	3.453602
 20-24 	102.193189	49.375026	52.818162
 25-29 	473.054341	294.227175	178.827167
 30-34 	646.715392	450.382852	196.332541
 35-39 	652.342655	476.691123	175.651532
 40-44 	566.734030	421.051852	145.682178
 45-49 	487.201433	352.291709	134.909724
 50-54 	321.727472	220.899861	100.827611
 55-59 	182.889953	121.521432	61.368521
 60-64 	105.219493	70.571064	34.648428
 65-69 	62.057130	43.800023	18.257107
 70-74 	38.018538	27.190989	10.827549
 75-79 	19.981048	13.876736	6.104312
 80+ 	4.791842	4.072824	0.719018
Total	6481.190913	3988.668959	2492.521954
1989			
 0-4	3568.672265	1827.996796	1740.675468
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	7.237300	2.537138	4.700163
 20-24 	131.715671	53.919309	77.796362
 25-29 	594.943577	331.559217	263.384359
 30-34 	812.758215	523.352743	289.405472
 35-39 	787.709808	540.678318	247.031490
 40-44 	699.922916	490.016799	209.906117
 45-49 	601.352034	409.457942	191.894092
 50-54 	396.098996	253.816582	142.282414
 55-59 	225.488906	138.613457	86.875449
 60-64 	129.277909	80.171386	49.106523
 65-69 	75.914815	50.017280	25.897535
 70-74 	46.249601	31.098520	15.151081
 75-79 	24.771744	15.984416	8.787329
 80+ 	5.888932	4.794271	1.094662
Total	8108.002691	4754.014174	3353.988516
1990			
 0-4	4421.279070	2264.520848	2156.758222
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	10.239356	3.763157	6.476199
 20-24 	166.476526	59.870640	106.605885
 25-29 	747.037378	373.482390	373.554988
 30-34 	1015.236046	602.472620	412.763426
 35-39 	956.363869	615.588964	340.774906
 40-44 	850.181942	561.523048	288.658894
 45-49 	739.946551	476.101336	263.845214
 50-54 	484.864815	292.571908	192.292907
 55-59 	276.192654	158.632154	117.560501
 60-64 	158.115957	91.507610	66.608347
 65-69 	92.708894	57.555508	35.153385
 70-74 	56.462338	36.137038	20.325299
 75-79 	30.769007	18.807063	11.961944
 80+ 	7.405964	5.776404	1.629560
Total	10013.280367	5618.310689	4394.969678
1991			
 0-4	5363.991192	2747.048656	2616.942536
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	13.849150	5.297325	8.551825
 20-24 	205.840168	67.898933	137.941235
 25-29 	932.834731	423.628587	509.206144
 30-34 	1260.537067	691.171732	569.365335
 35-39 	1166.095801	705.202757	460.893044
 40-44 	1017.948944	636.625198	381.323746
 45-49 	907.390565	554.975757	352.414809
 50-54 	589.495831	338.131220	251.364612
 55-59 	335.803985	182.267984	153.536001
 60-64 	192.157583	104.933149	87.224434
 65-69 	112.637235	66.566145	46.071090
 70-74 	68.855012	42.448124	26.406889
 75-79 	38.010406	22.396443	15.613963
 80+ 	9.381268	7.042674	2.338594
Total	12214.828940	6595.634684	5619.194256
1992			
 0-4	6380.744602	3267.435630	3113.308972
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	18.288078	7.235978	11.052101
 20-24 	248.277495	78.034118	170.243377
 25-29 	1154.314146	484.969787	669.344358
 30-34 	1553.580641	792.662212	760.918428
 35-39 	1427.376291	814.934900	612.441391
 40-44 	1201.099792	714.805971	486.293821
 45-49 	1108.474829	648.993210	459.481619
 50-54 	710.532920	390.849381	319.683538
 55-59 	404.906879	210.024038	194.882841
 60-64 	231.700391	120.701888	110.998503
 65-69 	135.661833	77.001601	58.660231
 70-74 	83.450416	50.027197	33.423218
 75-79 	46.471388	26.721619	19.749769
 80+ 	11.813767	8.592254	3.221513
Total	14716.693468	7692.989785	7023.703682
1993			
 0-4	7443.978342	3811.660023	3632.318319
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	23.671849	9.656254	14.015595
 20-24 	292.385393	90.101569	202.283824
 25-29 	1409.789462	558.575037	851.214425
 30-34 	1897.227327	909.984749	987.242579
 35-39 	1744.963575	946.934090	798.029486
 40-44 	1403.481748	799.354254	604.127494
 45-49 	1341.365215	757.058321	584.306894
 50-54 	849.140379	451.618461	397.521918
 55-59 	483.526220	242.104672	241.421548
 60-64 	276.702452	138.892113	137.810339
 65-69 	161.489239	88.645963	72.843277
 70-74 	99.977381	58.666712	41.310669
 75-79 	55.992083	31.642814	24.349269
 80+ 	14.646353	10.379883	4.266470
Total	17498.337019	8905.274914	8593.062105
1994			
 0-4	8517.587311	4361.274666	4156.312645
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	29.797950	12.472563	17.325387
 20-24 	340.382894	103.282792	237.100102
 25-29 	1689.799196	643.762209	1046.036986
 30-34 	2292.439013	1045.844152	1246.594860
 35-39 	2115.152174	1099.055294	1016.096880
 40-44 	1635.922583	897.192135	738.730448
 45-49 	1595.586439	873.438147	722.148293
 50-54 	1006.633293	521.474500	485.158793
 55-59 	571.009234	278.315995	292.693239
 60-64 	326.657978	159.329098	167.328879
 65-69 	189.671468	101.223853	88.447615
 70-74 	117.932053	68.022653	49.909400
 75-79 	66.348674	37.004927	29.343748
 80+ 	17.808979	12.353778	5.455202
Total	20512.729238	10214.046761	10298.682477
1995			
 0-4	9557.003633	4893.493263	4663.510370
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	36.912156	15.824942	21.087213
 20-24 	396.978213	119.463563	277.514650
 25-29 	1976.650687	734.206397	1242.444290
 30-34 	2736.419819	1201.277985	1535.141834
 35-39 	2530.097675	1267.389008	1262.708668
 40-44 	1908.330166	1014.062651	894.267515
 45-49 	1856.762527	990.711012	866.051516
 50-54 	1182.335899	600.296297	582.039602
 55-59 	665.964001	318.103942	347.860059
 60-64 	380.576237	181.573390	199.002846
 65-69 	219.629715	114.437862	105.191854
 70-74 	136.611269	77.619130	58.992139
 75-79 	77.208692	42.594463	34.614229
 80+ 	21.190404	14.422797	6.767607
Total	23682.671093	11585.476701	12097.194392
1996			
 0-4	10523.397280	5388.431368	5134.965912
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	45.229856	19.842672	25.387184
 20-24 	448.251949	134.236060	314.015889
 25-29 	2267.762093	827.855902	1439.906191
 30-34 	3221.170528	1374.584709	1846.585819
 35-39 	2986.346409	1451.168583	1535.177826
 40-44 	2221.602339	1150.448883	1071.153456
 45-49 	2114.043299	1104.091747	1009.951551
 50-54 	1373.656956	686.888638	686.768318
 55-59 	766.293123	360.682260	405.610864
 60-64 	437.330750	205.162731	232.168019
 65-69 	250.804242	128.098829	122.705413
 70-74 	155.408447	87.091253	68.317194
 75-79 	88.322928	48.309386	40.013542
 80+ 	24.732621	16.550902	8.181719
Total	26924.352819	12983.443922	13940.908898
1997			
 0-4	11393.420244	5834.023199	5559.397045
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	54.991691	24.661767	30.329924
 20-24 	496.833509	148.481400	348.352109
 25-29 	2553.130542	920.120914	1633.009628
 30-34 	3735.205116	1561.164299	2174.040817
 35-39 	3476.323959	1647.163971	1829.159988
 40-44 	2578.165157	1307.359755	1270.805403
 45-49 	2354.587818	1207.617826	1146.969992
 50-54 	1578.434002	780.350945	798.083057
 55-59 	868.593798	404.571950	464.021848
 60-64 	495.378573	229.414959	265.963614
 65-69 	282.601380	142.024887	140.576493
 70-74 	173.725477	96.102015	77.623461
 75-79 	99.447126	54.043659	45.403467
 80+ 	28.385382	18.709510	9.675872
Total	30169.223776	14375.811056	15793.412720
1998			
 0-4	12153.143833	6222.943493	5930.200340
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	79.289469	36.976538	42.312931
 20-24 	541.185490	161.449473	379.736017
 25-29 	2823.738939	1006.424832	1817.314107
 30-34 	4261.207275	1752.606102	2508.601173
 35-39 	3990.796200	1851.080139	2139.716061
 40-44 	2969.435123	1479.650318	1489.784805
 45-49 	2580.901960	1302.644722	1278.257238
 50-54 	1782.458508	873.469791	908.988716
 55-59 	970.099388	448.669313	521.430075
 60-64 	552.290729	253.258552	299.032177
 65-69 	314.349429	155.949056	158.400373
 70-74 	191.159181	104.447805	86.711376
 75-79 	110.414039	59.715175	50.698864
 80+ 	32.177649	20.921943	11.255706
Total	33352.647213	15730.207252	17622.439961
1999			
 0-4	12789.222910	6548.584579	6240.638330
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	112.885726	54.133053	58.752673
 20-24 	578.417398	172.216563	406.200835
 25-29 	3081.317233	1085.926213	1995.391020
 30-34 	4765.611252	1934.067596	2831.543655
 35-39 	4519.580437	2058.413975	2461.166462
 40-44 	3374.563316	1655.865536	1718.697781
 45-49 	2806.312073	1397.374973	1408.937099
 50-54 	1963.458408	955.057056	1008.401352
 55-59 	1068.264500	492.020428	576.244072
 60-64 	605.082953	275.453265	329.629688
 65-69 	344.798175	169.343699	175.454476
 70-74 	207.351987	112.024616	95.327371
 75-79 	120.877894	65.145641	55.732253
